,location,Abdala,COVIran_Barekat,CanSino,Covaxin,EpiVacCorona,Johnson_Johnson,Medigen,Moderna,Oxford_AstraZeneca,Pfizer_BioNTech,QazVac,Sinopharm_Beijing,Sinopharm_HayatVax,Sinopharm_Wuhan,Sinovac,Soberana02,Sputnik_V,ZF2001
0,Afghanistan,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
1,Albania,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
2,Algeria,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
3,Andorra,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,Angola,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Anguilla,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Antigua and Barbuda,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Argentina,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
8,Armenia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
9,Aruba,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Australia,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,Austria,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
12,Azerbaijan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
13,Bahamas,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Bahrain,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
15,Bangladesh,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
16,Barbados,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
17,Belarus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18,Belgium,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
19,Belize,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
20,Benin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
21,Bermuda,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
22,Bhutan,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
23,Bolivia,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0
24,Bonaire Sint Eustatius and Saba,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
25,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
26,Botswana,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
27,Brazil,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
28,British Virgin Islands,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
29,Brunei,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
30,Bulgaria,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
31,Burkina Faso,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,Cambodia,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
33,Cameroon,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
34,Canada,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
35,Cape Verde,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
36,Cayman Islands,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
37,Central African Republic,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,Chad,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,Chile,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
40,China,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
41,Colombia,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0
42,Comoros,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
43,Congo,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
44,Cook Islands,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,Costa Rica,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
