,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,abdala,coviran_barekat,cansino,covaxin,epivaccorona,johnson_johnson,medigen,moderna,oxford_astrazeneca,pfizer_biontech,qazvac,sinopharm_beijing,sinopharm_hayatvax,sinopharm_wuhan,sinovac,soberana02,sputnik_v,zf2001,PC 1,PC 2,PC 3,Class
0,Afghanistan,153220,7118.0,3846.325,178.685,0.63,1979652.0,773002.0,0.0,4.97,1.94,0.0,39835428,54.422,18.6,2.581,1.337,1803.987,0.0,597.029,9.59,0.0,0.0,37.746,0.5,64.83,0.511,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,-3.182960695810565,-0.03729574798195768,-0.07473372311962483,1
1,Algeria,196080,5269.0,4394.774,118.095,0.79,0.0,0.0,0.0,0.0,0.0,0.0,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-2.1562930096077353,0.03993714409063687,1.062080310572209,1
2,Andorra,15033,130.0,194340.306,1680.585,0.71,0.0,0.0,0.0,0.0,0.0,0.0,77354,163.755,0.0,0.0,0.0,0.0,0.0,109.135,7.97,29.0,37.8,0.0,0.0,83.73,0.868,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.3823264312246509,-0.9450001531724311,-0.7754988061550908,4
3,Angola,47544,1217.0,1401.089,35.864,1.08,0.0,0.0,0.0,0.0,0.0,0.0,33933611,23.89,16.8,2.405,1.362,5819.495,0.0,276.045,3.94,0.0,0.0,26.664,0.0,61.15,0.581,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-3.380426491982734,-0.23838150959015522,-0.9117686697038595,1
4,Antigua and Barbuda,1715,44.0,17370.959,445.669,1.3,75069.0,41061.0,34008.0,76.04,41.59,34.45,98728,231.845,32.1,6.933,4.631,21490.943,0.0,191.511,13.17,0.0,0.0,0.0,3.8,77.02,0.778,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0772532924295204,-0.7967640093294185,-0.07470105353308196,4
5,Argentina,5185620,111812.0,113705.217,2451.704,0.76,42260571.0,27873340.0,14387231.0,92.66,61.12,31.55,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0.0,5.0,76.67,0.845,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2.7374552834592323,1.6149906040902997,0.7457700896728472,4
6,Armenia,242135,4844.0,81578.355,1632.005,1.1,0.0,0.0,0.0,0.0,0.0,0.0,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,-0.4472794958482881,-0.1896107062881607,1.4707788743984058,4
7,Australia,55093,1012.0,2136.363,39.243,1.39,19362666.0,12192256.0,7170410.0,75.08,47.28,27.8,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,0.0,3.84,83.44,0.944,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2.3845958210014233,-1.008318414151876,-0.17488464259497696,0
8,Austria,688305,10772.0,76114.068,1191.188,1.18,10462919.0,5508966.0,5210007.0,115.7,60.92,57.61,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,0.0,7.37,81.54,0.922,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,5.412704319624532,-1.5746139277644755,-0.2520993109113099,0
9,Azerbaijan,424891,5636.0,41560.863,551.287,1.07,6805740.0,4113716.0,2692024.0,66.57,40.24,26.33,10223344,119.309,32.4,6.018,3.871,15847.419,0.0,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,-0.6225860765790191,0.04079026960754991,1.6385666028490689,4
