,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
554,Afghanistan,153220.0,72.0,80.0,7118.0,2.0,5.0,3846.325,1.807,2.008,178.685,0.05,0.126,0.63,,,,,,,,,,,,,,1979652.0,773002.0,,,,70761.0,4.97,1.94,,,1776.0,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
1126,Africa,7790394.0,22708.0,29072.286,196278.0,779.0,785.714,5671.985,16.533,21.167,142.905,0.567,0.572,,,,,,,,,,,,,,,103848842.0,68875046.0,38421883.0,,1392862.0,1486847.0,7.56,5.01,2.8,,1083.0,,1373486472.0,,,,,,,,,,,,,,
1686,Albania,146387.0,1054.0,838.0,2498.0,3.0,2.571,50953.833,366.872,291.688,869.494,1.044,0.895,1.28,,,,,,,,,,,,,,1472316.0,830396.0,641920.0,,14268.0,10847.0,51.25,28.9,22.34,,3776.0,,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
2246,Algeria,196080.0,506.0,493.429,5269.0,29.0,29.429,4394.774,11.341,11.059,118.095,0.65,0.66,0.79,35.0,0.784,,,,,,,,,,,,,,,,,256927.0,,,,,5759.0,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
2800,Andorra,15033.0,1.0,4.286,130.0,,,194340.306,12.928,55.404,1680.585,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
3336,Angola,47544.0,213.0,172.0,1217.0,7.0,7.286,1401.089,6.277,5.069,35.864,0.206,0.215,1.08,,,,,,,,,,,,,,,,,,,32470.0,,,,,957.0,,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
3551,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,66.0,,15125.0,,,,,,,,,,,,,81.88,
4091,Antigua and Barbuda,1715.0,2.0,25.0,44.0,,0.143,17370.959,20.258,253.221,445.669,,1.447,1.3,,,,,,,,,,,,,,75069.0,41061.0,34008.0,,432.0,310.0,76.04,41.59,34.45,,3140.0,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
4706,Argentina,5185620.0,6731.0,5362.143,111812.0,205.0,143.714,113705.217,147.591,117.576,2451.704,4.495,3.151,0.76,,,,,,,,,,,,,,42260571.0,27873340.0,14387231.0,,330033.0,393247.0,92.66,61.12,31.55,,8623.0,75.93,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845
5261,Armenia,242135.0,524.0,530.429,4844.0,14.0,10.857,81578.355,176.542,178.708,1632.005,4.717,3.658,1.1,,,,,5666.0,1540436.0,518.992,1.909,6395.0,2.155,0.083,12.1,tests performed,,,,,,4803.0,,,,,1618.0,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
5423,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,148225.0,78669.0,69556.0,,572.0,247.0,138.28,73.39,64.89,,2304.0,43.52,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,
6017,Asia,70105232.0,236777.0,257345.714,1037913.0,3038.0,3939.429,14980.837,50.597,54.992,221.792,0.649,0.842,,,,,,,,,,,,,,,3542621664.0,2078454573.0,1343962042.0,12285586.0,30495460.0,30873286.0,75.7,44.41,28.72,0.26,6597.0,,4679660580.0,,,,,,,,,,,,,,
6607,Australia,55093.0,1225.0,1195.429,1012.0,6.0,3.714,2136.363,47.502,46.356,39.243,0.233,0.144,1.39,,,,,210646.0,31561341.0,1223.867,8.168,213743.0,8.288,0.006,178.8,tests performed,19362666.0,12192256.0,7170410.0,,276925.0,274581.0,75.08,47.28,27.8,,10648.0,,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
7167,Austria,688305.0,1229.0,1385.714,10772.0,-10.0,0.571,76114.068,135.905,153.235,1191.188,-1.106,0.063,1.18,,,,,331116.0,76575848.0,8467.902,36.615,311596.0,34.457,0.004,224.9,tests performed,10462919.0,5508966.0,5210007.0,,16799.0,13008.0,115.7,60.92,57.61,,1438.0,58.8,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
7722,Azerbaijan,424891.0,3788.0,3836.714,5636.0,44.0,38.0,41560.863,370.525,375.29,551.287,4.304,3.717,1.07,,,,,19693.0,4461937.0,436.446,1.926,14239.0,1.393,0.269,3.7,tests performed,6805740.0,4113716.0,2692024.0,,116709.0,79438.0,66.57,40.24,26.33,,7770.0,58.33,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756
8262,Bahamas,18139.0,,84.857,354.0,,2.286,45700.076,,213.792,891.881,,5.759,1.19,,,,,,,,,,,,,,,,,,,2598.0,,,,,6545.0,,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
8823,Bahrain,272540.0,87.0,105.286,1388.0,,0.143,155889.023,49.763,60.222,793.916,,0.082,0.95,,,,,17057.0,5933836.0,3394.07,9.756,17036.0,9.744,0.006,161.8,units unclear,2489109.0,1146939.0,1088446.0,,3645.0,3884.0,142.37,65.6,62.26,,2222.0,39.35,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852
9376,Bangladesh,1500618.0,3357.0,3950.571,26195.0,86.0,97.429,9023.37,20.186,23.755,157.513,0.517,0.586,0.65,,,,,28097.0,8913764.0,53.599,0.169,30133.0,0.181,0.131,7.6,tests performed,26471819.0,18580195.0,7891624.0,,,390592.0,15.92,11.17,4.75,,2349.0,60.19,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
9915,Barbados,5032.0,101.0,48.286,50.0,1.0,0.286,17489.955,351.05,167.829,173.787,3.476,0.993,1.46,,,,,,,,,,,,,,,,,,,1279.0,,,,,4445.0,56.48,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
10472,Belarus,481532.0,1168.0,1433.857,3780.0,12.0,11.286,50994.258,123.691,151.846,400.302,1.271,1.195,1.15,,,,,19825.0,7797000.0,825.703,2.099,16726.0,1.771,0.086,11.7,tests performed,,,,,,,,,,,,,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823
11053,Belgium,1184664.0,1854.0,2064.429,25380.0,6.0,5.429,101842.33,159.383,177.473,2181.849,0.516,0.467,1.09,,,,,49462.0,18739426.0,1610.977,4.252,41421.0,3.561,0.054,18.5,tests performed,16212621.0,8428863.0,8141780.0,,38767.0,33990.0,139.38,72.46,69.99,,2922.0,47.22,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
11586,Belize,16353.0,133.0,95.714,362.0,3.0,1.0,40386.254,328.464,236.381,894.015,7.409,2.47,1.27,,,,,,,,,,,,,,,,,,,2070.0,,,,,5112.0,,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
12126,Benin,13366.0,,124.857,128.0,,0.143,1073.485,,10.028,10.28,,0.011,0.3,,,,,,,,,,,,,,,,,,,3520.0,,,,,283.0,37.04,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
12366,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,1594.0,,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,
12913,Bhutan,2596.0,1.0,0.714,3.0,,,3328.632,1.282,0.916,3.847,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654
13458,Bolivia,490879.0,412.0,451.143,18452.0,23.0,17.429,41484.125,34.818,38.126,1559.376,1.944,1.473,0.87,,,,,6748.0,2288780.0,193.425,0.57,6274.0,0.53,0.072,13.9,tests performed,6019660.0,4014955.0,2766347.0,,,76984.0,50.87,33.93,23.38,,6506.0,44.91,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
13609,Bonaire Sint Eustatius and Saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,,,,,7412.0,,26445.0,,,,,,,,,,,,,77.79,
14155,Bosnia and Herzegovina,213853.0,474.0,487.286,9803.0,11.0,7.571,65529.55,145.245,149.316,3003.868,3.371,2.32,1.5,,,,,2814.0,1141029.0,349.638,0.862,2575.0,0.789,0.189,5.3,tests performed,,,,,,,,,,,,,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
14681,Botswana,156927.0,,869.286,2261.0,,12.857,65461.531,,362.619,943.168,,5.363,1.17,,,,,,,,,,,,,,,,,,,11749.0,,,,,4901.0,,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
15240,Brazil,20776870.0,24589.0,23143.429,580413.0,839.0,667.286,97091.153,114.905,108.15,2712.293,3.921,3.118,0.88,,,,,,,,,,,,,,,,,,,1969109.0,,,,,9202.0,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
15349,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,,,,,7231.0,,30423.0,207.973,,,,,,,13.67,,,,,79.07,
15893,Brunei,2712.0,71.0,119.857,9.0,1.0,0.857,6142.25,160.804,271.457,20.384,2.265,1.941,1.28,,,,,,,,,,,,,,327825.0,231613.0,96212.0,,,7365.0,74.25,52.46,21.79,,16681.0,79.63,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
16441,Bulgaria,455742.0,2053.0,1520.714,18896.0,56.0,47.286,66081.6,297.681,220.5,2739.879,8.12,6.856,1.16,,,,,,,,,22483.0,3.26,0.068,14.8,tests performed,2312605.0,,1172184.0,,13487.0,10007.0,33.53,,17.0,,1451.0,,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816
16987,Burkina Faso,13777.0,9.0,7.429,171.0,,,640.877,0.419,0.346,7.955,,,1.18,,,,,,,,,,,,,,108799.0,108799.0,13273.0,,,1266.0,0.51,0.51,0.06,,59.0,16.67,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
17512,Burundi,11994.0,,171.857,38.0,,,978.668,,14.023,3.101,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433
18101,Cambodia,93055.0,439.0,421.143,1903.0,11.0,11.714,5491.122,25.905,24.851,112.295,0.649,0.691,0.92,,,,,,,,,,,,,,19085923.0,10801691.0,8525970.0,616561.0,173289.0,190284.0,112.62,63.74,50.31,3.64,11229.0,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594
18651,Cameroon,83425.0,,138.714,1350.0,,1.714,3064.362,,5.095,49.588,,0.063,0.17,,,,,,,,,,,,,,,,,,,1296.0,,,,,48.0,25.93,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563
19241,Canada,1507092.0,2935.0,3347.429,26989.0,17.0,20.0,39589.562,77.099,87.933,708.97,0.447,0.525,1.25,452.0,11.874,1290.0,33.887,63438.0,40539628.0,1064.929,1.666,76391.0,2.007,0.044,22.8,tests performed,53343798.0,27928378.0,25415420.0,,86607.0,102491.0,140.13,73.36,66.76,,2692.0,69.91,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929
19777,Cape Verde,35354.0,71.0,75.571,313.0,3.0,1.0,62918.557,126.357,134.492,557.038,5.339,1.78,1.2,,,,,,,,,,,,,tests performed,309001.0,236158.0,72843.0,,,2770.0,54.99,42.03,12.96,,4930.0,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665
20032,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,101008.0,51514.0,49494.0,,,121.0,151.9,77.47,74.43,,1820.0,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,
20573,Central African Republic,11296.0,26.0,3.714,100.0,1.0,0.143,2295.941,5.285,0.755,20.325,0.203,0.029,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397
