,location,vaccines
0,Afghanistan,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
1,Albania,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
2,Algeria,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
3,Andorra,"Oxford/AstraZeneca, Pfizer/BioNTech"
4,Angola,Oxford/AstraZeneca
5,Anguilla,Oxford/AstraZeneca
6,Antigua and Barbuda,Oxford/AstraZeneca
7,Argentina,"CanSino, Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
8,Armenia,"Oxford/AstraZeneca, Sinovac, Sputnik V"
9,Aruba,Pfizer/BioNTech
10,Australia,"Oxford/AstraZeneca, Pfizer/BioNTech"
11,Austria,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
12,Azerbaijan,"Oxford/AstraZeneca, Sinovac, Sputnik V"
13,Bahamas,Oxford/AstraZeneca
14,Bahrain,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
15,Bangladesh,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
16,Barbados,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
17,Belarus,"Sinopharm/Beijing, Sputnik V"
18,Belgium,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
19,Belize,"Oxford/AstraZeneca, Sinopharm/Beijing"
20,Benin,"Oxford/AstraZeneca, Sinovac"
21,Bermuda,"Oxford/AstraZeneca, Pfizer/BioNTech"
22,Bhutan,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
23,Bolivia,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
24,Bonaire Sint Eustatius and Saba,"Moderna, Pfizer/BioNTech"
25,Bosnia and Herzegovina,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
26,Botswana,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
27,Brazil,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
28,British Virgin Islands,"Johnson&Johnson, Oxford/AstraZeneca"
29,Brunei,"Oxford/AstraZeneca, Sinopharm/Beijing"
